Artist,Birth Name,Birth Date,Birth Place,Years Active,Instrument,Page Title,Summary,
Olly Murs,Oliver Stanley Murs,1984|5|14,Witham,2007–present,Vocals|guitar|piano,Olly Murs,"<p class=""mw-empty-elt"">

</p>
<p><b>Oliver Stanley Murs</b> (born 14 May 1984) is an English singer, songwriter, and television presenter. He was runner-up on the sixth series of <i>The X Factor</i> in 2009 and was later signed to RCA Records and Sony Music in the United Kingdom, and Columbia Records in the United States.
</p><p>In 2010, Murs released his self-titled debut album, which entered the UK Albums Chart at number two and was certified double platinum by the British Phonographic Industry (BPI). The album included the hit singles ""Please Don't Let Me Go"" and ""Thinking of Me"". The following year, he released his second album, <i>In Case You Didn't Know</i>, which entered the charts at number one and resulted in two number-one singles with ""Heart Skips a Beat"" and ""Dance with Me Tonight"". In 2012, Murs released his third album, <i>Right Place Right Time</i>, and released six singles from it; the first, ""Troublemaker"", was his fourth number one. As of December 2014, Murs has sold over 10 million records worldwide.</p><p>In 2014, Murs released the single ""Wrapped Up"" featuring Gym Class Heroes' Travie McCoy, which peaked at number three. This was the first single to be released from him fourth album <i>Never Been Bette</i>r, which entered the charts at number one. It was followed by a second single, ""Up"" featuring American singer Demi Lovato. In 2016, Murs released his fifth album, <i>24 Hrs</i>, which debuted at number one on the UK Albums Chart, followed by his sixth album, <i>You Know I Know</i>, in 2018. After splitting with RCA Records, Murs released his seventh album, <i>Marry Me</i>, in 2022.
</p><p>In 2011, it was announced that Murs would return to <i>The X Factor</i> to co-present its spin-off show <i>The Xtra Factor</i> with Caroline Flack. In 2015, it was announced that Murs would be reunited with Caroline Flack to replace Dermot O'Leary as co-presenters of <i>The X Factor</i> on series 12. Since 2018, Murs has been a judge and coach on <i>The Voice UK</i>.
</p>",
,,,,,,,,
Chris Isaak,Christopher Joseph Isaak,1956|06|26,Stockton,1978–present,"* Vocals
* guitar
* bass",Chris Isaak,"<p class=""mw-empty-elt"">
</p>

<p><b>Christopher Joseph Isaak</b> (born June 26, 1956) is an American singer, songwriter, guitarist and occasional actor. He is widely known for his breakthrough hit and signature song ""Wicked Game"", as well as songs such as ""Blue Hotel"", ""Baby Did a Bad Bad Thing"" and ""Somebody's Crying"". He is known for his reverb-laden rockabilly revivalist style and wide vocal range. His songs generally focus on the themes of love, loss and heartbreak. With a career spanning four decades, Isaak has released a total of 13 studio albums, toured, and received numerous award nominations. He is often compared to Roy Orbison, Elvis Presley, Ricky Nelson, and Duane Eddy.</p><p>Isaak is closely associated with film director David Lynch, who has used his music in numerous films. As an actor, he's had supporting roles and bit parts in films such as <i>Married to the Mob</i>, <i>The Silence of the Lambs</i>, <i>Little Buddha</i>, <i>That Thing You Do!</i> and Lynch's <i>Twin Peaks: Fire Walk with Me</i>, and starred in two television series: the sitcom <i>The Chris Isaak Show</i> and the talk show <i>The Chris Isaak Hour</i>.
</p>",
,,,,,,,,
Tycho,Scott Hansen,1977|2|7,,2002–present,,Tycho (musician),"<p><b>Scott Hansen</b> (born February 7, 1977), known professionally as <b>Tycho</b> (<span></span> <i title=""English pronunciation respelling""><span>TY</span>-koh</i>), is an American musician, record producer, composer, and songwriter based in San Francisco. He is also known as <b>ISO50</b> for his photographic and design work. His music blends multiple stylistic components, including downtempo guitar, analogue synthesis, and ambient elements such as breathing and found sounds of weather broadcasts and dialogue.
</p>


",
,,,,,,,,
Max Richter,,1966|03|22,Hamelin,1994–present,Piano|organ|synthesizer,Max Richter,"<p class=""mw-empty-elt"">

</p>

<p><b>Max Richter</b> (<span></span>; <small>German: </small><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""de-Latn-fonipa"">[ˈʁɪçtɐ]</span>; born 22 March 1966) is a German-born British composer and pianist. He works within postminimalist and contemporary classical styles. Richter is classically trained, having graduated in composition from the University of Edinburgh, the Royal Academy of Music in London, and studied with Luciano Berio in Italy.</p><p>Richter arranges, performs, and composes music for stage, opera, ballet and screen. He has collaborated with other musicians, as well as with performance, installation and media artists. He has recorded eight solo albums, and his music is widely used in cinema, such as the score of Ari Folman's animated war film <i>Waltz with Bashir</i> (2008).</p><p>As of December 2019, Richter has passed one billion streams and one million album sales.</p>",
,,,,,,,,
Gary Jules,Gary Jules Aguirre Jr.,1969|03|19,Fresno,1997–present,"Vocals, guitar, piano, mandolin, harmonica, ukulele",Gary Jules,"<p class=""mw-empty-elt"">
</p>

<p><b>Gary Jules Aguirre Jr.</b> (born March 19, 1969) is an American singer-songwriter, known primarily for his cover version of the Tears for Fears song ""Mad World"", which he recorded with his friend Michael Andrews for the film <i>Donnie Darko</i>. It became the UK Christmas number-one single of 2003.
</p>",
,,,,,,,,
Dizzee Rascal,Dylan Kwabena Mills,1984|9|18,London,2000–present,,Dizzee Rascal,"<link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r1033289096"">
<p class=""mw-empty-elt"">
</p>

<p><b>Dylan Kwabena Mills</b>  (born 18 September 1984), better known by his stage name <b>Dizzee Rascal</b>, is a British MC and rapper. A pioneer of grime music, his work has also incorporated elements of UK garage, bassline, British hip hop, and R&amp;B.
</p><p>Dizzee Rascal released his debut album <i>Boy in da Corner</i> in 2003. It earned him the 2003 Mercury Prize, and has since been considered a grime classic. Follow-up albums <i>Showtime</i>, <i>Maths + English</i>, and <i>Tongue n' Cheek</i> were critically praised and certified platinum, with <i>Tongue n' Cheek</i> going platinum for sales exceeding 300,000 units in the United Kingdom. He has achieved 5 UK number-one singles, ""Dance wiv Me"", ""Bonkers"", ""Holiday"", ""Dirtee Disco"" and ""Shout"".
</p>",
,,,,,,,,
Lindsay Lohan,Lindsay Dee Lohan,1986|7|2,New York City,1989–present,,Lindsay Lohan,"<p class=""mw-empty-elt"">



</p>
<p><b>Lindsay Dee Lohan</b> (<span></span> <i title=""English pronunciation respelling""><span>LOH</span>-ən</i>; born July 2, 1986) is an American actress and singer. Born in New York City and raised on Long Island, Lohan was signed to Ford Models at the age of three. Having appeared as a regular on the television soap opera <i>Another World</i> at age 10, her breakthrough came in the Walt Disney Pictures film <i>The Parent Trap</i> (1998). The film's success led to appearances in the television films <i>Life-Size</i> (2000) and <i>Get a Clue</i> (2002), and the big-screen productions <i>Freaky Friday</i> (2003) and <i>Confessions of a Teenage Drama Queen</i> (2004). Lohan's early work won her childhood stardom, while the teen comedy sleeper hit <i>Mean Girls</i> (2004) affirmed her status as a teen idol and established her as a Hollywood leading actress. 
</p><p>Lohan became known as a triple threat after signing with Casablanca Records and releasing two studio albums, the platinum-certified <i>Speak</i> (2004) and gold-certified <i>A Little More Personal (Raw)</i> (2005). She also starred in the comedies <i>Herbie: Fully Loaded</i> (2005) and <i>Just My Luck</i> (2006). In order to showcase her range, Lohan began choosing roles in independent films such as <i>A Prairie Home Companion</i> and <i>Bobby</i> (both 2006) and <i>Chapter 27</i> (2007). Her reported behavior during the filming of the dramedy <i>Georgia Rule</i> in 2006 marked the start of a series of personal struggles that would plague her life and career for most of the next decade. She became a fixture in the tabloid press for her frequent legal issues, court appearances and stints in rehabilitation facilities. This period saw her lose several roles, negatively impacting her career and public image. In an attempt to return to acting, she appeared in <i>Liz &amp; Dick</i> (2012) and <i>The Canyons</i> (2013), but were both met with negative reviews.
</p><p>In 2013, under the guidance of Oprah Winfrey, Lohan filmed the docu-series <i>Lindsay</i> (2014), which depicted her returning to work. She subsequently made her stage debut in the London West End production of <i>Speed-the-Plow</i> (2014), starred in the second season of the comedy series <i>Sick Note</i> (2018), and served as a panelist in the first season of <i>Masked Singer Australia</i> (2019). Between 2016 and 2018, she  opened three beach clubs in Greece, which were the focus of the MTV reality television series <i>Lindsay Lohan's Beach Club</i> (2019). After signing a multi-picture deal with Netflix, Lohan starred in  the romantic comedy <i>Falling for Christmas</i> (2022).</p>",
,,,,,,,,
Frank Zappa,Frank Vincent Zappa,1940|12|21,Baltimore,1955–1993,,Frank Zappa,"<p class=""mw-empty-elt"">


</p>
<p><b>Frank Vincent Zappa</b> (December 21, 1940 – December 4, 1993) was an American musician, composer, and bandleader. His work is characterized by nonconformity, free-form improvisation, sound experiments, musical virtuosity and satire of American culture. In a career spanning more than 30 years, Zappa composed rock, pop, jazz, jazz fusion, orchestral  and <i>musique concrète</i> works, and produced almost all of the 60-plus albums that he released with his band the Mothers of Invention and as a solo artist. Zappa also directed feature-length films and music videos, and designed album covers. He is considered one of the most innovative and stylistically diverse musicians of his generation.</p><p>As a self-taught composer and performer, Zappa had diverse musical influences that led him to create music that was sometimes difficult to categorize. While in his teens, he acquired a taste for 20th-century classical modernism, African-American rhythm and blues, and doo-wop music. He began writing classical music in high school, while at the same time playing drums in rhythm and blues bands, later switching to electric guitar. His debut studio album with the Mothers of Invention, <i>Freak Out!</i> (1966), combined songs in conventional rock and roll format with collective improvisations and studio-generated sound collages. He continued this eclectic and experimental approach whether the fundamental format was rock, jazz, or classical.
</p><p>Zappa's output is unified by a conceptual continuity he termed ""Project/Object"", with numerous musical phrases, ideas, and characters reappearing across his albums. His lyrics reflected his iconoclastic views of established social and political processes, structures and movements, often humorously so, and he has been described as the ""godfather"" of comedy rock. He was a strident critic of mainstream education and organized religion, and a forthright and passionate advocate for freedom of speech, self-education, political participation and the abolition of censorship. Unlike many other rock musicians of his generation, he disapproved of recreational drug use, but supported decriminalization and regulation.
</p><p>Zappa was a highly productive and prolific artist with a controversial critical standing; supporters of his music admired its compositional complexity, while detractors found it lacking emotional depth. He had greater commercial success outside the US, particularly in Europe. Though he worked as an independent artist, Zappa mostly relied on distribution agreements he had negotiated with the major record labels. He remains a major influence on musicians and composers. His many honors include his posthumous 1995 induction into the Rock and Roll Hall of Fame and the 1997 Grammy Lifetime Achievement Award.
</p>


",
